# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
7.450000000000000178e+00 1.504424999999999789e-16 9.237149999999998646e-16 1.876874999999999806e-16 1.578524999999999751e-15 4.730338461538457033e-19 2.273220512820510939e-17
7.550000000000000711e+00 1.389374999999999280e-16 8.531249999999995400e-16 1.734524999999999081e-16 1.455674999999999145e-15 3.973309999999995481e-19 1.932259999999998068e-17
7.650000000000000355e+00 1.274324999999999758e-16 7.825349999999998070e-16 1.592174999999999588e-16 1.332824999999999722e-15 3.519009999999999273e-19 1.714459999999999735e-17
7.860000000000000320e+00 1.109828571428571378e-16 6.836514285714285298e-16 1.393228571428571457e-16 1.161457142857142837e-15 2.564979999999998138e-19 1.257079999999999015e-17
7.964999999999999858e+00 1.039628571428571859e-16 6.419214285714289344e-16 1.309378571428572076e-16 1.089307142857143430e-15 2.185385714285714833e-19 1.073128571428571658e-17
8.017500000000000071e+00 1.004528571428572038e-16 6.210564285714289395e-16 1.267453571428572140e-16 1.053232142857143529e-15 2.060535714285714733e-19 1.010978571428571723e-17
8.070000000000000284e+00 9.694285714285719709e-17 6.001914285714288460e-16 1.225528571428571956e-16 1.017157142857143431e-15 1.935685714285714632e-19 9.488285714285716337e-18
8.294999999999999929e+00 8.653233333333336724e-17 5.372466666666668756e-16 1.100666666666667065e-16 9.100000000000001930e-16 1.400614285714285528e-19 6.824714285714284606e-18
8.407499999999998863e+00 8.198883333333340986e-17 5.095566666666671100e-16 1.046066666666667495e-16 8.632000000000007933e-16 1.210440000000001107e-19 5.872900000000005936e-18
8.463749999999999218e+00 7.971708333333338187e-17 4.957116666666669806e-16 1.018766666666667401e-16 8.398000000000006497e-16 1.141140000000000347e-19 5.523650000000002960e-18
8.519999999999999574e+00 7.744533333333336621e-17 4.818666666666668513e-16 9.914666666666670609e-17 8.164000000000004075e-16 1.071839999999999828e-19 5.174400000000000755e-18
8.754999999999999005e+00 7.017593617021281384e-17 4.379368085106386033e-16 9.027255319148941935e-17 7.430993617021281356e-16 7.823200000000002214e-20 3.715311111111113010e-18
8.872499999999998721e+00 6.684143617021282592e-17 4.178518085106386427e-16 8.617755319148943614e-17 7.097543617021282811e-16 6.864491489361704326e-20 3.228453191489363422e-18
8.931249999999998579e+00 6.517418617021282580e-17 4.078093085106386871e-16 8.413005319148943837e-17 6.930818617021284031e-16 6.488841489361705866e-20 3.036503191489364224e-18
8.990000000000000213e+00 6.350693617021278870e-17 3.977668085106384357e-16 8.208255319148937896e-17 6.764093617021278349e-16 6.113191489361695370e-20 2.844553191489359248e-18
9.234999999999999432e+00 5.808373469387758760e-17 3.650081632653063315e-16 7.537346938775513788e-17 6.218669387755105238e-16 4.546651063829789269e-20 2.044080851063830890e-18
9.357499999999999929e+00 5.556823469387757660e-17 3.497981632653062777e-16 7.225346938775512367e-17 5.965169387755104175e-16 4.062861224489795474e-20 1.797804081632652812e-18
