# k[h/mpc]  pk_dm  pk_gas    
4.365160000000000373e+00 5.680315708211199387e-09 5.680315708211199387e-09
4.641589999999999883e+00 4.864855769088000356e-09 4.864855769088000356e-09
4.935520000000000351e+00 4.164628460339200388e-09 4.164628460339200388e-09
5.248070000000000235e+00 3.563661872332799805e-09 3.563661872332799805e-09
5.580420000000000158e+00 3.048135605616639931e-09 3.048135605616639931e-09
5.933810000000000251e+00 2.606117704171519581e-09 2.606117704171519581e-09
6.309569999999999901e+00 2.227306286284800222e-09 2.227306286284800222e-09
6.709139999999999660e+00 1.902808756387840224e-09 1.902808756387840224e-09
7.134000000000000341e+00 1.624963295477760121e-09 1.624963295477760121e-09
7.585779999999999745e+00 1.387169746780159969e-09 1.387169746780159969e-09
8.066159999999999997e+00 1.183743989514240128e-09 1.183743989514240128e-09
8.576959999999999695e+00 1.009786405519360130e-09 1.009786405519360130e-09
9.120110000000000383e+00 8.610879268454400825e-10 8.610879268454400825e-10
9.697649999999999437e+00 7.340407809638399911e-10 7.340407809638399911e-10
1.031179999999999986e+01 6.255257478758400980e-10 6.255257478758400980e-10
1.096480000000000032e+01 5.328792767692799809e-10 5.328792767692799809e-10
1.165910000000000046e+01 4.538089288499199719e-10 4.538089288499199719e-10
1.239750000000000085e+01 3.863506289950720039e-10 3.863506289950720039e-10
1.318260000000000076e+01 3.288193407385600121e-10 3.288193407385600121e-10
1.401740000000000030e+01 2.797710155448320019e-10 2.797710155448320019e-10
1.490499999999999936e+01 2.379692397035519949e-10 2.379692397035519949e-10
1.584890000000000043e+01 2.023551695585279976e-10 2.023551695585279976e-10
1.685259999999999891e+01 1.720231038812160363e-10 1.720231038812160363e-10
1.791979999999999862e+01 1.461969957683199914e-10 1.461969957683199914e-10
1.905460000000000065e+01 1.242154202562559827e-10 1.242154202562559827e-10
2.026129999999999853e+01 1.055104350289920004e-10 1.055104350289920004e-10
2.154429999999999978e+01 8.959959446323200400e-11 8.959959446323200400e-11
2.290869999999999962e+01 7.606856843264000691e-11 7.606856843264000691e-11
2.435940000000000083e+01 6.456503540121600708e-11 6.456503540121600708e-11
2.590200000000000102e+01 5.478787789619199508e-11 5.478787789619199508e-11
2.754230000000000089e+01 4.648041793454079689e-11 4.648041793454079689e-11
2.928640000000000043e+01 3.942332361605119799e-11 3.942332361605119799e-11
3.114110000000000156e+01 3.343014638387200241e-11 3.343014638387200241e-11
3.311310000000000286e+01 2.834168387993600267e-11 2.834168387993600267e-11
3.521009999999999707e+01 2.402250370580480053e-11 2.402250370580480053e-11
3.743979999999999819e+01 2.035718532628480308e-11 2.035718532628480308e-11
3.981069999999999709e+01 1.724750149713919971e-11 1.724750149713919971e-11
4.233180000000000121e+01 1.460983457382400198e-11 1.460983457382400198e-11
4.501250000000000284e+01 1.237301560606719935e-11 1.237301560606719935e-11
4.786299999999999955e+01 1.047663319449600058e-11 1.047663319449600058e-11
5.089399999999999835e+01 8.869154442444799434e-12 8.869154442444799434e-12
5.411699999999999733e+01 7.506891479449599777e-12 7.506891479449599777e-12
5.754399999999999693e+01 6.352639151308800258e-12 6.352639151308800258e-12
6.118809999999999860e+01 5.374923400806400351e-12 5.374923400806400351e-12
6.506289999999999907e+01 4.546845653073919146e-12 4.546845653073919146e-12
6.918309999999999604e+01 3.845664727367679997e-12 3.845664727367679997e-12
7.356419999999999959e+01 3.252045217791999570e-12 3.252045217791999570e-12
7.822280000000000655e+01 2.749592428871679832e-12 2.749592428871679832e-12
8.317640000000000100e+01 2.324377915883519938e-12 2.324377915883519938e-12
8.844370000000000687e+01 1.964596558561280119e-12 1.964596558561280119e-12
9.404449999999999932e+01 1.660237727662079965e-12 1.660237727662079965e-12
1.000000000000000000e+02 1.402808125358080232e-12 1.402808125358080232e-12
1.063329999999999984e+02 1.185110997073920030e-12 1.185110997073920030e-12
1.130660000000000025e+02 1.001039436185600134e-12 1.001039436185600134e-12
1.202259999999999991e+02 8.454307577856000164e-13 8.454307577856000164e-13
1.278400000000000034e+02 7.139067795865600781e-13 7.139067795865600781e-13
